FULL_NAME,PLAYER_ID,SEASON_ID,RANK_PG_EFF,EFF_CHANGE,TARGET,TEAM_ABBREVIATION,PLAYER_AGE,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,POSITION
Rasheed Wallace,739,2001-02,22,-4,FALSE,POR,27,79,37.5,7.6,16.3,0.469,1.4,4,0.36,2.5,3.5,0.734,1.7,6.4,8.2,1.9,1.3,1.3,1.7,2.7,19.3,C
Rasheed Wallace,739,2002-03,26,-21,FALSE,POR,28,74,36.3,7,14.8,0.471,1.5,4.1,0.358,2.7,3.7,0.735,1.5,5.9,7.4,2.1,0.9,1,1.9,3,18.1,C
Rasheed Wallace,739,2003-04,47,-4,FALSE,TOT,29,68,35.2,6.3,14.3,0.436,1.2,3.6,0.331,2.3,3.1,0.736,1.5,5.3,6.8,2.3,0.9,1.8,1.8,2.8,16,C
Rasheed Wallace,739,2004-05,51,11,FALSE,DET,30,79,34,5.9,13.4,0.44,0.9,3,0.318,1.7,2.5,0.697,2.2,5.9,8.2,1.8,0.8,1.5,1.6,3,14.5,C
Rasheed Wallace,739,2005-06,40,-27,FALSE,DET,31,80,34.7,5.7,13.3,0.43,1.9,5.4,0.357,1.7,2.3,0.743,1.1,5.7,6.8,2.3,1,1.6,1.1,2.9,15.1,C
Rasheed Wallace,739,2006-07,67,-4,FALSE,DET,32,75,32.3,4.8,11.2,0.423,1.4,3.9,0.351,1.4,1.8,0.788,1.2,6,7.2,1.7,1,1.6,1.3,3,12.3,C
Rasheed Wallace,739,2007-08,71,5,FALSE,DET,33,77,30.5,4.9,11.3,0.432,1.5,4.1,0.356,1.5,1.9,0.767,1.1,5.5,6.6,1.8,1.2,1.7,1.1,2.8,12.7,C
Rasheed Wallace,739,2008-09,66,-72,TRUE,DET,34,66,32.2,4.6,10.9,0.419,1.7,4.8,0.354,1.2,1.5,0.772,0.8,6.6,7.4,1.4,0.9,1.3,0.9,3,12,C
Marcus Camby,948,1997-98,63,-54,FALSE,TOR,24,63,31.8,4.9,11.9,0.412,0,0,0,2.4,3.9,0.611,3.2,4.2,7.4,1.8,1.1,3.7,2.1,3.2,12.1,C
Marcus Camby,948,2003-04,33,6,FALSE,DEN,30,72,30,3.6,7.6,0.477,0,0,0,1.4,1.9,0.721,2.9,7.2,10.1,1.8,1.2,2.6,1.4,3.3,8.6,C
Marcus Camby,948,2006-07,16,3,TRUE,DEN,33,70,33.8,4.5,9.4,0.473,0,0,0,2.3,3.2,0.729,2.3,9.3,11.7,3.2,1.2,3.3,1.7,2.6,11.2,C
Ray Allen,951,1996-97,97,57,FALSE,MIL,21,82,31,4.8,11.1,0.43,1.4,3.6,0.393,2.5,3,0.823,1.2,2.8,4,2.6,0.9,0.1,1.8,2.7,13.4,SG
